Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/joda/time/field/DecoratedDurationField,true,0,533,true,0,true
org/joda/time/field/PreciseDateTimeField,true,4,708,true,0,true
org/joda/time/field/MillisDurationField,true,6,659,true,4,true
org/joda/time/field/ScaledDurationField,true,4,1307,true,13,false
org/joda/time/field/SkipDateTimeField,true,0,645,true,0,true
org/joda/time/field/DecoratedDateTimeField,true,4,448,true,0,true
org/joda/time/field/FieldUtils,true,19,2157,true,7,false
org/joda/time/field/DividedDateTimeField,true,12,2094,false,NA,false
org/joda/time/field/UnsupportedDurationField,true,3,1053,true,0,true
org/joda/time/field/PreciseDurationField,true,4,668,true,2,false
org/joda/time/field/DelegatedDurationField,true,11,1192,true,12,NA
org/joda/time/field/AbstractPartialFieldProperty,true,25,1332,true,4,true
org/joda/time/field/PreciseDurationDateTimeField,true,11,807,true,0,true
org/joda/time/field/BaseDateTimeField,true,91,5386,true,0,true
org/joda/time/field/OffsetDateTimeField,true,4,1452,true,0,true
org/joda/time/field/BaseDurationField,true,3,547,true,0,true
org/joda/time/field/DelegatedDateTimeField,true,2,2833,true,0,true
org/joda/time/field/StrictDateTimeField,true,0,253,true,0,true
org/joda/time/field/RemainderDateTimeField,true,13,1485,false,NA,false
org/joda/time/field/ZeroIsMaxDateTimeField,true,4,1183,true,0,true
org/joda/time/field/SkipUndoDateTimeField,true,0,569,true,0,true
org/joda/time/field/AbstractReadableInstantFieldProperty,true,36,1870,true,0,true
org/joda/time/field/ImpreciseDateTimeField,true,187,1077,false,NA,false
org/joda/time/field/UnsupportedDateTimeField,true,1,2027,true,0,true
org/joda/time/field/LenientDateTimeField,true,0,404,true,0,true
org/joda/time/chrono/IslamicChronology,true,372,4278,false,NA,false
org/joda/time/chrono/GJCacheKey,true,51,682,true,28,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,3,881,true,0,true
org/joda/time/chrono/ZonedChronology,true,1465,10361,false,NA,false
org/joda/time/chrono/LenientChronology,true,52,1522,false,NA,false
org/joda/time/chrono/EthiopicChronology,true,52,1820,false,NA,false
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,256,true,0,true
org/joda/time/chrono/BuddhistChronology,true,36,1530,false,NA,false
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,8,432,true,0,true
org/joda/time/chrono/GJEraDateTimeField,true,45,906,true,0,true
org/joda/time/chrono/StrictChronology,true,52,1414,false,NA,false
org/joda/time/chrono/GJLocaleSymbols,true,42,3577,false,NA,false
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,26,789,true,0,true
org/joda/time/chrono/BasicSingleEraDateTimeField,true,28,555,true,0,true
org/joda/time/chrono/BasicFixedMonthChronology,true,45,986,true,14,false
org/joda/time/chrono/BaseChronology,true,65,4085,false,NA,false
org/joda/time/chrono/GJChronology,true,1820,14126,false,NA,false
org/joda/time/chrono/BasicDayOfYearDateTimeField,true,3,766,true,0,true
org/joda/time/chrono/BasicGJChronology,true,227,2290,false,NA,false
org/joda/time/chrono/BasicWeekyearDateTimeField,true,40,1798,false,NA,false
org/joda/time/chrono/ISOChronology,true,72,1245,false,NA,false
org/joda/time/chrono/GJYearOfEraDateTimeField,true,3,865,true,0,true
org/joda/time/chrono/BasicYearDateTimeField,true,4,1261,true,0,true
org/joda/time/chrono/CopticChronology,true,52,1859,false,NA,false
org/joda/time/chrono/ISOYearOfEraDateTimeField,true,5,805,true,0,true
org/joda/time/chrono/LimitChronology,true,1023,8528,false,NA,false
org/joda/time/chrono/AssembledChronology,true,710,7401,false,NA,false
org/joda/time/chrono/BasicChronology,true,477,6967,false,NA,false
org/joda/time/chrono/GregorianChronology,true,60,1685,false,NA,false
org/joda/time/chrono/JulianChronology,true,74,1862,false,NA,false
org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,55,3897,false,NA,false
org/joda/time/base/BasePartial,true,10,1635,false,NA,false
org/joda/time/base/BaseSingleFieldPeriod,true,29,1822,true,14,true
org/joda/time/base/AbstractDuration,true,29,865,true,4,true
org/joda/time/base/AbstractInterval,true,27,2010,false,NA,false
org/joda/time/base/BasePeriod,true,57,5476,false,NA,false
org/joda/time/base/AbstractPartial,true,31,2247,false,NA,false
org/joda/time/base/AbstractInstant,true,10,1538,true,4,true
org/joda/time/base/AbstractPeriod,true,10,1085,true,4,true
org/joda/time/base/BaseDateTime,true,4,1548,true,0,true
org/joda/time/base/BaseDuration,true,4,762,true,0,true
org/joda/time/base/AbstractDateTime,true,5,1241,true,4,true
org/joda/time/base/BaseInterval,true,27,2125,true,7,true
org/joda/time/base/BaseLocal,true,8,38,true,4,NA
org/joda/time/Minutes,true,24,1831,true,0,true
org/joda/time/Partial,true,344,8772,false,NA,false
org/joda/time/tz/DefaultNameProvider,true,124,1479,false,NA,false
org/joda/time/tz/DateTimeZoneBuilder,true,3906,22892,false,NA,false
org/joda/time/tz/ZoneInfoCompiler,true,1404,12215,false,NA,false
org/joda/time/tz/FixedDateTimeZone,true,4,694,true,4,false
org/joda/time/tz/UTCProvider,true,4,96,true,0,true
org/joda/time/tz/ZoneInfoProvider,true,42,2273,false,NA,false
org/joda/time/tz/CachedDateTimeZone,true,194,2310,false,NA,false
org/joda/time/tz/Provider,true,1,17,true,0,NA
org/joda/time/tz/NameProvider,true,1,34,true,0,NA
org/joda/time/ReadWritableDateTime,true,1,284,true,0,NA
org/joda/time/Chronology,true,0,405,true,0,NA
org/joda/time/LocalTime,true,441,8972,false,NA,false
org/joda/time/format/DateTimeFormatterBuilder,true,4432,24548,false,NA,false
org/joda/time/format/FormatUtils,true,69,3988,false,NA,false
org/joda/time/format/InternalParser,true,1,22,true,0,NA
org/joda/time/format/DateTimeParserBucket,true,328,5264,false,NA,false
org/joda/time/format/DateTimeFormat,true,742,6355,false,NA,false
org/joda/time/format/PeriodFormatter,true,12,1645,true,0,true
org/joda/time/format/InternalPrinter,true,1,57,true,0,NA
org/joda/time/format/DateTimeFormatter,true,34,6035,false,NA,false
org/joda/time/format/ISOPeriodFormat,true,4,902,true,4,true
org/joda/time/format/InternalParserDateTimeParser,true,6,425,true,2,true
