Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/Access,true,3,50,true,4,true
spark/Response,true,49,1135,false,NA,false
spark/Route,true,8,229,true,0,true
spark/HaltException,true,10,239,true,0,true
spark/TemplateViewRoute,true,1,162,true,0,true
spark/QueryParamsMap,true,76,2053,false,NA,false
spark/RequestResponseFactory,true,3,69,true,4,true
spark/Filter,true,8,203,true,0,true
spark/JettyLogger,true,165,918,false,NA,NA
spark/Request,true,254,3268,false,NA,false
spark/Spark,true,121,1672,false,NA,false
spark/ModelAndView,true,8,124,true,0,true
spark/servlet/SparkFilter,true,20,561,false,NA,false
spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/servlet/FilterTools,true,NA,657,true,0,true
spark/webserver/ResponseWrapper,true,75,861,true,0,true
spark/webserver/JettyHandler,true,6,229,false,NA,false
spark/webserver/SparkServerImpl,true,48,1605,true,0,true
spark/webserver/SparkServer,true,0,42,true,0,NA
spark/webserver/SparkServerFactory,true,3,104,false,NA,false
spark/webserver/MatcherFilter,true,40,2035,false,NA,false
spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/webserver/RequestWrapper,true,134,1425,true,0,true
spark/Session,true,41,582,true,0,NA
spark/utils/SparkUtils,true,39,213,true,0,true
spark/utils/IOUtils,true,33,558,false,NA,false
spark/utils/MimeParse,true,128,2962,false,NA,false
spark/AbstractRoute,true,0,120,true,0,true
spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/route/SimpleRouteMatcher,true,151,3431,true,0,true
spark/route/RouteMatch,true,17,290,true,0,true
spark/route/HttpMethod,true,12,160,false,NA,false
spark/route/RouteMatcher,true,0,75,true,0,NA
spark/route/RouteMatcherFactory,true,4,140,true,8,true
