Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,79,873,true,29,true
org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,16,440,true,0,true
org/apache/commons/collections4/keyvalue/TiedMapEntry,true,87,955,true,29,true
org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/keyvalue/MultiKey,true,43,1100,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,31,515,true,10,true
org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,1,286,true,0,true
org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,77,674,true,29,true
org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,1,250,true,0,true
org/apache/commons/collections4/set/TransformedSortedSet,true,78,973,false,NA,false
org/apache/commons/collections4/set/TransformedSet,true,38,485,false,NA,false
org/apache/commons/collections4/set/CompositeSet,true,180,2981,true,0,true
org/apache/commons/collections4/set/AbstractSetDecorator,true,1,106,true,0,true
org/apache/commons/collections4/set/PredicatedSet,true,2,184,true,0,true
org/apache/commons/collections4/set/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/set/MapBackedSet,true,79,1559,false,NA,false
org/apache/commons/collections4/set/PredicatedSortedSet,true,26,625,true,0,true
org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,8,173,true,0,true
org/apache/commons/collections4/set/UnmodifiableSortedSet,true,20,719,true,0,true
org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,19,400,true,0,true
org/apache/commons/collections4/set/UnmodifiableSet,true,7,408,false,NA,false
org/apache/commons/collections4/set/ListOrderedSet,true,160,2629,false,NA,false
org/apache/commons/collections4/ResettableIterator,true,0,13,true,0,NA
org/apache/commons/collections4/bag/PredicatedBag,true,20,424,true,0,true
org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,12,229,true,0,true
org/apache/commons/collections4/bag/TreeBag,true,20,756,true,0,true
org/apache/commons/collections4/bag/SynchronizedSortedBag,true,22,308,true,0,true
org/apache/commons/collections4/bag/TransformedSortedBag,true,57,639,false,NA,false
org/apache/commons/collections4/bag/PredicatedSortedBag,true,14,309,true,0,true
org/apache/commons/collections4/bag/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/bag/AbstractBagDecorator,true,15,322,true,0,true
org/apache/commons/collections4/bag/CollectionSortedBag,true,82,1102,true,12,true
org/apache/commons/collections4/bag/HashBag,true,3,232,true,0,true
org/apache/commons/collections4/bag/TransformedBag,true,70,784,false,NA,false
org/apache/commons/collections4/bag/UnmodifiableBag,true,22,672,false,NA,false
org/apache/commons/collections4/bag/AbstractMapBag,true,663,5975,false,NA,false
org/apache/commons/collections4/bag/CollectionBag,true,82,1102,true,12,true
org/apache/commons/collections4/bag/SynchronizedBag,true,29,522,true,0,true
org/apache/commons/collections4/bag/UnmodifiableSortedBag,true,17,590,true,0,true
org/apache/commons/collections4/TrieUtils,true,0,85,true,0,true
org/apache/commons/collections4/ComparatorUtils,true,30,1077,false,NA,false
org/apache/commons/collections4/BidiMap,true,4,63,true,0,NA
org/apache/commons/collections4/MultiMapUtils,true,66,1294,true,24,true
