Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/javac/org/jsoup/examples/ListLinks,true,94,886,false,NA,NA
jsoup/javac/org/jsoup/examples/HtmlToPlainText,true,402,1896,true,NA,NA
jsoup/javac/org/jsoup/examples/package-info,true,NA,NA,true,NA,NA
jsoup/javac/org/jsoup/select/CombiningEvaluator,true,83,1146,false,NA,false
jsoup/javac/org/jsoup/select/Elements,true,706,4285,false,NA,false
jsoup/javac/org/jsoup/select/package-info,true,NA,NA,true,NA,NA
jsoup/javac/org/jsoup/select/QueryParser,true,100,6795,true,70,true
jsoup/javac/org/jsoup/select/StructuralEvaluator,true,147,1331,true,20,NA
jsoup/javac/org/jsoup/select/Evaluator,true,413,6551,true,128,NA
jsoup/javac/org/jsoup/select/Collector,true,1,393,true,0,true
jsoup/javac/org/jsoup/select/Selector,true,58,631,false,NA,false
jsoup/javac/org/jsoup/select/NodeVisitor,true,0,26,true,0,NA
jsoup/javac/org/jsoup/select/NodeTraversor,true,6,346,true,0,true
jsoup/javac/org/jsoup/Jsoup,true,0,942,true,0,true
jsoup/javac/org/jsoup/safety/Whitelist,true,613,7947,false,NA,false
jsoup/javac/org/jsoup/safety/package-info,true,NA,NA,true,NA,NA
jsoup/javac/org/jsoup/safety/Cleaner,true,384,1565,false,NA,false
jsoup/javac/org/jsoup/package-info,true,NA,NA,true,NA,NA
jsoup/javac/org/jsoup/UnsupportedMimeTypeException,true,19,221,true,0,NA
jsoup/javac/org/jsoup/HttpStatusException,true,19,221,true,0,NA
jsoup/javac/org/jsoup/Connection,true,582,881,false,NA,NA
jsoup/javac/org/jsoup/helper/DescendableLinkedList,true,104,491,false,NA,false
jsoup/javac/org/jsoup/helper/Validate,true,30,531,true,0,true
jsoup/javac/org/jsoup/helper/HttpConnection,true,1235,11729,false,NA,false
jsoup/javac/org/jsoup/helper/W3CDom,true,317,1350,true,NA,false
jsoup/javac/org/jsoup/helper/DataUtil,true,140,2503,false,NA,false
jsoup/javac/org/jsoup/helper/StringUtil,true,42,1361,false,NA,false
jsoup/javac/org/jsoup/nodes/Attribute,true,103,1588,false,NA,false
jsoup/javac/org/jsoup/nodes/TextNode,true,27,1643,true,0,true
jsoup/javac/org/jsoup/nodes/DocumentType,true,40,738,true,0,true
jsoup/javac/org/jsoup/nodes/Node,true,1484,6503,false,NA,false
jsoup/javac/org/jsoup/nodes/Entities,true,615,2845,false,NA,false
jsoup/javac/org/jsoup/nodes/Comment,true,7,299,true,0,true
jsoup/javac/org/jsoup/nodes/Document,true,795,3193,false,NA,false
jsoup/javac/org/jsoup/nodes/package-info,true,NA,NA,true,NA,NA
jsoup/javac/org/jsoup/nodes/XmlDeclaration,true,7,320,true,0,true
jsoup/javac/org/jsoup/nodes/FormElement,true,49,807,true,40,true
jsoup/javac/org/jsoup/nodes/Attributes,true,572,2970,false,NA,false
jsoup/javac/org/jsoup/nodes/DataNode,true,10,334,true,0,true
jsoup/javac/org/jsoup/nodes/Element,true,2150,8822,false,NA,false
jsoup/javac/org/jsoup/parser/TokenQueue,true,188,3956,false,NA,false
jsoup/javac/org/jsoup/parser/Tag,true,221,3534,true,2,true
jsoup/javac/org/jsoup/parser/Tokeniser,true,86,3338,true,0,true
jsoup/javac/org/jsoup/parser/ParseErrorList,true,3,206,true,0,true
jsoup/javac/org/jsoup/parser/TokeniserState,true,5078,22459,false,NA,false
jsoup/javac/org/jsoup/parser/package-info,true,NA,NA,true,NA,NA
jsoup/javac/org/jsoup/parser/TreeBuilder,true,15,603,false,NA,false
jsoup/javac/org/jsoup/parser/Parser,true,33,985,true,7,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilderState,true,5808,27218,false,NA,false
jsoup/javac/org/jsoup/parser/CharacterReader,true,100,4520,false,NA,false
jsoup/javac/org/jsoup/parser/XmlTreeBuilder,true,49,1365,false,NA,false
jsoup/javac/org/jsoup/parser/ParseError,true,15,286,false,NA,false
jsoup/javac/org/jsoup/parser/HtmlTreeBuilder,true,2135,8966,false,NA,false
jsoup/javac/org/jsoup/parser/Token,true,648,3197,false,NA,false
