Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/utils/MimeParse,true,149,2962,true,29,true
spark/eclipse/spark/utils/SparkUtils,true,3,213,true,8,true
spark/eclipse/spark/utils/IOUtils,true,8,558,true,0,true
spark/eclipse/spark/route/HttpMethod,true,0,160,true,0,true
spark/eclipse/spark/route/RouteMatcher,true,0,75,true,0,NA
spark/eclipse/spark/route/RouteMatch,true,17,290,true,0,true
spark/eclipse/spark/route/RouteMatcherFactory,true,0,140,true,0,true
spark/eclipse/spark/route/SimpleRouteMatcher,true,202,3431,true,42,true
spark/eclipse/spark/Spark,true,59,1672,true,34,true
spark/eclipse/spark/QueryParamsMap,true,108,2053,true,10,true
spark/eclipse/spark/ResponseTransformerRoute,true,1,70,true,0,NA
spark/eclipse/spark/ModelAndView,true,8,124,true,0,true
spark/eclipse/spark/Access,true,0,50,true,0,true
spark/eclipse/spark/Session,true,41,582,true,0,NA
spark/eclipse/spark/Request,true,230,3268,true,50,true
spark/eclipse/spark/webserver/JettyHandler,true,6,229,true,0,true
spark/eclipse/spark/webserver/MatcherFilter,true,113,2035,true,432,true
spark/eclipse/spark/webserver/RequestWrapper,true,139,1425,true,0,true
spark/eclipse/spark/webserver/SparkServer,true,0,42,true,0,NA
spark/eclipse/spark/webserver/ResponseWrapper,true,62,861,true,0,true
spark/eclipse/spark/webserver/SparkServerImpl,true,57,1605,false,NA,false
spark/eclipse/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,true,0,104,true,0,true
spark/eclipse/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,30,657,true,0,true
spark/eclipse/spark/servlet/SparkFilter,true,20,561,true,0,true
spark/eclipse/spark/AbstractRoute,true,0,120,true,0,true
spark/eclipse/spark/JettyLogger,true,50,918,true,0,NA
spark/eclipse/spark/RequestResponseFactory,true,0,69,true,0,true
spark/eclipse/spark/TemplateViewRoute,true,3,162,true,0,true
spark/eclipse/spark/Response,true,52,1135,true,0,true
spark/eclipse/spark/HaltException,true,10,239,true,0,true
spark/eclipse/spark/Route,true,5,229,true,0,true
spark/eclipse/spark/Filter,true,5,203,true,0,true
