Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/Access,true,0,50,true,0,true
spark/eclipse/spark/Response,true,57,1135,true,0,true
spark/eclipse/spark/Route,true,17,229,true,3,true
spark/eclipse/spark/HaltException,true,10,239,true,0,true
spark/eclipse/spark/TemplateViewRoute,true,4,162,true,0,true
spark/eclipse/spark/QueryParamsMap,true,213,2053,false,NA,false
spark/eclipse/spark/RequestResponseFactory,true,0,69,true,0,true
spark/eclipse/spark/Filter,true,8,203,true,0,true
spark/eclipse/spark/JettyLogger,true,152,918,true,60,NA
spark/eclipse/spark/Request,true,263,3268,true,65,false
spark/eclipse/spark/Spark,true,103,1672,false,NA,false
spark/eclipse/spark/ModelAndView,true,8,124,true,0,true
spark/eclipse/spark/servlet/SparkFilter,true,38,561,false,NA,false
spark/eclipse/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,63,657,true,30,true
spark/eclipse/spark/webserver/ResponseWrapper,true,75,861,true,0,true
spark/eclipse/spark/webserver/JettyHandler,true,6,229,true,0,true
spark/eclipse/spark/webserver/SparkServerImpl,true,48,1605,true,4,true
spark/eclipse/spark/webserver/SparkServer,true,0,42,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,true,0,104,true,0,true
spark/eclipse/spark/webserver/MatcherFilter,true,113,2035,false,NA,false
spark/eclipse/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/eclipse/spark/webserver/RequestWrapper,true,134,1425,true,8,true
spark/eclipse/spark/Session,true,46,582,true,4,NA
spark/eclipse/spark/utils/SparkUtils,true,30,213,true,0,false
spark/eclipse/spark/utils/IOUtils,true,41,558,true,7,true
spark/eclipse/spark/utils/MimeParse,true,320,2962,false,NA,false
spark/eclipse/spark/AbstractRoute,true,0,120,true,0,true
spark/eclipse/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/eclipse/spark/route/SimpleRouteMatcher,true,521,3431,false,NA,false
spark/eclipse/spark/route/RouteMatch,true,17,290,true,0,true
spark/eclipse/spark/route/HttpMethod,true,0,160,true,0,true
spark/eclipse/spark/route/RouteMatcher,true,0,75,true,2,NA
spark/eclipse/spark/route/RouteMatcherFactory,true,0,140,true,0,true
