Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/javac/spark/utils/MimeParse,true,231,2962,true,0,true
spark/javac/spark/utils/SparkUtils,true,6,213,true,0,true
spark/javac/spark/utils/IOUtils,true,46,558,true,0,true
spark/javac/spark/route/HttpMethod,true,0,160,true,0,true
spark/javac/spark/route/RouteMatcher,true,9,75,true,0,NA
spark/javac/spark/route/RouteMatch,true,27,290,true,0,true
spark/javac/spark/route/RouteMatcherFactory,true,12,140,true,0,true
spark/javac/spark/route/SimpleRouteMatcher,true,141,3431,true,5,true
spark/javac/spark/Spark,true,63,1672,true,0,true
spark/javac/spark/QueryParamsMap,true,173,2053,true,0,true
spark/javac/spark/ResponseTransformerRoute,true,5,70,true,0,NA
spark/javac/spark/ModelAndView,true,10,124,true,0,true
spark/javac/spark/Access,true,1,50,true,0,true
spark/javac/spark/Session,true,56,582,true,0,NA
spark/javac/spark/Request,true,284,3268,true,0,true
spark/javac/spark/webserver/JettyHandler,true,25,229,true,1,true
spark/javac/spark/webserver/MatcherFilter,true,117,2035,false,NA,false
spark/javac/spark/webserver/RequestWrapper,true,146,1425,true,0,true
spark/javac/spark/webserver/SparkServer,true,8,42,true,0,NA
spark/javac/spark/webserver/ResponseWrapper,true,84,861,true,0,true
spark/javac/spark/webserver/SparkServerImpl,true,86,1605,true,4,true
spark/javac/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/javac/spark/webserver/SparkServerFactory,true,3,104,true,0,true
spark/javac/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/javac/spark/servlet/FilterTools,true,46,657,true,0,true
spark/javac/spark/servlet/SparkFilter,true,51,561,false,NA,false
spark/javac/spark/AbstractRoute,true,4,120,true,0,true
spark/javac/spark/JettyLogger,true,95,918,false,NA,NA
spark/javac/spark/RequestResponseFactory,true,6,69,true,0,true
spark/javac/spark/TemplateViewRoute,true,11,162,true,0,true
spark/javac/spark/Response,true,84,1135,true,0,true
spark/javac/spark/HaltException,true,60,239,true,0,true
spark/javac/spark/Route,true,14,229,true,0,true
spark/javac/spark/Filter,true,13,203,true,0,true
