Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-codec/eclipse/org/apache/commons/codec/StringDecoder,true,0,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/DecoderException,true,5,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/Decoder,true,0,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoder,true,0,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/net/QCodec,true,144,2528,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/QuotedPrintableCodec,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/RFC1522Codec,true,49,1204,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/BCodec,true,82,994,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/Utils,true,11,142,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/URLCodec,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoderComparator,true,11,322,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone1,true,16,2156,true,1,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,8,820,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/Rule,true,859,8598,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/NameType,true,5,133,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/RuleType,true,5,133,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/Languages,true,314,2277,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/Lang,true,166,1846,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/PhoneticEngine,true,470,5845,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/ResourceConstants,true,3,52,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/language/Nysiis,true,66,2627,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/AbstractCaverphone,true,17,175,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/ColognePhonetic,true,165,3533,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/DoubleMetaphone,true,1041,16763,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone2,true,16,2264,true,1,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone,true,25,275,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/language/SoundexUtils,true,9,623,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/Soundex,true,49,1468,true,32,true
commons-codec/eclipse/org/apache/commons/codec/language/MatchRatingApproachEncoder,true,339,3792,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/RefinedSoundex,true,30,925,true,28,true
commons-codec/eclipse/org/apache/commons/codec/language/Metaphone,true,120,4545,true,1,true
commons-codec/eclipse/org/apache/commons/codec/Encoder,true,0,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/BinaryDecoder,true,0,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/EncoderException,true,5,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/BinaryEncoder,true,0,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/Charsets,true,22,343,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/B64,true,16,353,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacUtils,true,136,3372,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/Md5Crypt,true,56,2461,true,15,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacAlgorithms,true,13,180,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/digest/Crypt,true,36,458,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/DigestUtils,true,176,2927,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/MessageDigestAlgorithms,true,4,60,true,4,NA
commons-codec/eclipse/org/apache/commons/codec/digest/UnixCrypt,true,189,10756,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/digest/Sha2Crypt,true,55,5675,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/CharSequenceUtils,true,6,378,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecOutputStream,true,105,1213,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base32OutputStream,true,7,167,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base64,true,311,7614,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Hex,true,53,1826,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/BinaryCodec,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodec,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base32,true,572,9816,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/StringUtils,true,42,1244,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base64OutputStream,true,7,167,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base64InputStream,true,7,167,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base32InputStream,true,7,167,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecInputStream,true,102,1381,true,8,true
