Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/utils/MimeParse,true,228,2962,false,NA,false
spark/eclipse/spark/utils/SparkUtils,true,31,213,true,22,true
spark/eclipse/spark/utils/IOUtils,true,11,558,true,0,true
spark/eclipse/spark/route/HttpMethod,true,58,160,false,NA,false
spark/eclipse/spark/route/RouteMatcher,true,0,75,true,2,NA
spark/eclipse/spark/route/RouteMatch,true,6,290,true,0,true
spark/eclipse/spark/route/RouteMatcherFactory,true,46,140,false,NA,false
spark/eclipse/spark/route/SimpleRouteMatcher,true,740,3431,false,NA,false
spark/eclipse/spark/Spark,true,42,1672,true,26,true
spark/eclipse/spark/QueryParamsMap,true,145,2053,false,NA,false
spark/eclipse/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/eclipse/spark/ModelAndView,true,2,124,true,0,true
spark/eclipse/spark/Access,true,0,50,true,0,true
spark/eclipse/spark/Session,true,5,582,true,4,NA
spark/eclipse/spark/Request,true,741,3268,false,NA,false
spark/eclipse/spark/webserver/JettyHandler,true,67,229,false,NA,false
spark/eclipse/spark/webserver/MatcherFilter,true,525,2035,false,NA,false
spark/eclipse/spark/webserver/RequestWrapper,true,83,1425,true,8,true
spark/eclipse/spark/webserver/SparkServer,true,0,42,true,0,NA
spark/eclipse/spark/webserver/ResponseWrapper,true,26,861,true,0,true
spark/eclipse/spark/webserver/SparkServerImpl,true,370,1605,false,NA,false
spark/eclipse/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,true,34,104,false,NA,false
spark/eclipse/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,66,657,true,2,true
spark/eclipse/spark/servlet/SparkFilter,true,152,561,true,NA,false
spark/eclipse/spark/AbstractRoute,true,0,120,true,0,true
spark/eclipse/spark/JettyLogger,true,235,918,true,NA,NA
spark/eclipse/spark/RequestResponseFactory,true,0,69,true,0,true
spark/eclipse/spark/TemplateViewRoute,true,1,162,true,0,true
spark/eclipse/spark/Response,true,297,1135,false,NA,false
spark/eclipse/spark/HaltException,true,4,239,true,0,true
spark/eclipse/spark/Route,true,7,229,true,0,true
spark/eclipse/spark/Filter,true,7,203,true,0,true
