Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/javac/org/jsoup/examples/ListLinks,true,5,886,true,19,NA
jsoup/javac/org/jsoup/examples/HtmlToPlainText,true,126,1896,true,0,NA
jsoup/javac/org/jsoup/examples/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/CombiningEvaluator,true,96,1146,true,10,true
jsoup/javac/org/jsoup/select/Elements,true,353,4285,true,33,true
jsoup/javac/org/jsoup/select/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/QueryParser,true,500,6795,true,129,true
jsoup/javac/org/jsoup/select/StructuralEvaluator,true,143,1331,true,20,NA
jsoup/javac/org/jsoup/select/Evaluator,true,726,6551,true,128,NA
jsoup/javac/org/jsoup/select/Collector,true,29,393,true,0,true
jsoup/javac/org/jsoup/select/Selector,true,17,631,true,11,true
jsoup/javac/org/jsoup/select/NodeVisitor,true,0,26,true,0,NA
jsoup/javac/org/jsoup/select/NodeTraversor,true,23,346,true,0,true
jsoup/javac/org/jsoup/Jsoup,true,0,942,true,0,true
jsoup/javac/org/jsoup/safety/Whitelist,true,310,7947,false,NA,false
jsoup/javac/org/jsoup/safety/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/safety/Cleaner,true,179,1565,true,13,true
jsoup/javac/org/jsoup/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/UnsupportedMimeTypeException,true,13,221,true,0,NA
jsoup/javac/org/jsoup/HttpStatusException,true,13,221,true,0,NA
jsoup/javac/org/jsoup/Connection,true,19,881,true,12,NA
jsoup/javac/org/jsoup/helper/DescendableLinkedList,true,42,491,false,NA,false
jsoup/javac/org/jsoup/helper/Validate,true,2,531,true,6,true
jsoup/javac/org/jsoup/helper/HttpConnection,true,1078,11729,true,12,true
jsoup/javac/org/jsoup/helper/W3CDom,true,71,1350,true,4,true
jsoup/javac/org/jsoup/helper/DataUtil,true,43,2503,true,74,true
jsoup/javac/org/jsoup/helper/StringUtil,true,19,1361,true,44,true
jsoup/javac/org/jsoup/nodes/Attribute,true,89,1588,true,9,true
jsoup/javac/org/jsoup/nodes/TextNode,true,112,1643,true,0,true
jsoup/javac/org/jsoup/nodes/DocumentType,true,46,738,true,0,true
jsoup/javac/org/jsoup/nodes/Node,true,385,6503,true,24,true
jsoup/javac/org/jsoup/nodes/Entities,true,155,2845,true,150,true
jsoup/javac/org/jsoup/nodes/Comment,true,14,299,true,0,true
jsoup/javac/org/jsoup/nodes/Document,true,189,3193,true,29,true
jsoup/javac/org/jsoup/nodes/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/nodes/XmlDeclaration,true,14,320,true,0,true
jsoup/javac/org/jsoup/nodes/FormElement,true,55,807,true,60,true
jsoup/javac/org/jsoup/nodes/Attributes,true,188,2970,true,16,true
jsoup/javac/org/jsoup/nodes/DataNode,true,13,334,true,0,true
jsoup/javac/org/jsoup/nodes/Element,true,585,8822,true,103,true
jsoup/javac/org/jsoup/parser/TokenQueue,true,575,3956,true,80,false
jsoup/javac/org/jsoup/parser/Tag,true,301,3534,true,197,true
jsoup/javac/org/jsoup/parser/Tokeniser,true,390,3338,true,90,true
jsoup/javac/org/jsoup/parser/ParseErrorList,true,12,206,true,0,true
jsoup/javac/org/jsoup/parser/TokeniserState,true,NA,22459,false,NA,false
jsoup/javac/org/jsoup/parser/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/parser/TreeBuilder,true,59,603,true,6,true
jsoup/javac/org/jsoup/parser/Parser,true,33,985,true,25,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilderState,true,1948,27218,true,6,true
jsoup/javac/org/jsoup/parser/CharacterReader,true,653,4520,true,122,true
jsoup/javac/org/jsoup/parser/XmlTreeBuilder,true,127,1365,true,72,true
jsoup/javac/org/jsoup/parser/ParseError,true,13,286,true,0,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilder,true,2637,8966,false,NA,false
jsoup/javac/org/jsoup/parser/Token,true,515,3197,true,24,true
