Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
junit4/eclipse/junit/extensions/ActiveTestSuite,true,42,430,false,NA,false
junit4/eclipse/junit/extensions/TestDecorator,true,4,210,true,0,true
junit4/eclipse/junit/extensions/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/extensions/TestSetup,true,29,174,false,NA,false
junit4/eclipse/junit/extensions/RepeatedTest,true,50,263,true,36,false
junit4/eclipse/junit/textui/TestRunner,true,354,1817,false,NA,false
junit4/eclipse/junit/textui/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/textui/ResultPrinter,true,533,1527,true,207,true
junit4/eclipse/junit/runner/Version,true,7,69,true,0,true
junit4/eclipse/junit/runner/TestRunListener,true,1,82,true,0,true
junit4/eclipse/junit/runner/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/runner/BaseTestRunner,false,NA,NA,false,NA,false
junit4/eclipse/junit/framework/Assert,true,339,2705,true,183,true
junit4/eclipse/junit/framework/JUnit4TestAdapterCache,true,213,747,false,NA,false
junit4/eclipse/junit/framework/ComparisonFailure,true,11,247,true,6,false
junit4/eclipse/junit/framework/Protectable,true,1,8,true,0,true
junit4/eclipse/junit/framework/Test,true,2,14,true,0,true
junit4/eclipse/junit/framework/JUnit4TestAdapter,true,130,802,false,NA,false
junit4/eclipse/junit/framework/AssertionFailedError,true,19,96,true,11,true
junit4/eclipse/junit/framework/TestFailure,true,70,328,true,22,true
junit4/eclipse/junit/framework/ComparisonCompactor,true,397,1757,true,173,true
junit4/eclipse/junit/framework/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/framework/TestSuite,true,893,3051,false,NA,false
junit4/eclipse/junit/framework/TestResult,false,NA,NA,false,NA,false
junit4/eclipse/junit/framework/JUnit4TestCaseFacade,true,4,145,true,0,true
junit4/eclipse/junit/framework/TestCase,false,NA,NA,false,NA,false
junit4/eclipse/junit/framework/TestListener,true,6,44,true,0,true
junit4/eclipse/org/junit/Assert,true,634,4910,false,NA,false
junit4/eclipse/org/junit/ComparisonFailure,true,402,2360,false,NA,false
junit4/eclipse/org/junit/experimental/ParallelComputer,true,111,655,false,NA,false
junit4/eclipse/org/junit/experimental/runners/Enclosed,false,NA,NA,false,NA,false
junit4/eclipse/org/junit/experimental/results/FailureList,true,34,168,true,28,true
junit4/eclipse/org/junit/experimental/results/ResultMatchers,true,142,418,false,NA,false
junit4/eclipse/org/junit/experimental/results/PrintableResult,true,41,331,false,NA,false
junit4/eclipse/org/junit/experimental/categories/Category,true,20,59,false,NA,false
junit4/eclipse/org/junit/experimental/categories/IncludeCategories,true,39,264,false,NA,false
junit4/eclipse/org/junit/experimental/categories/Categories,true,747,4710,false,NA,false
junit4/eclipse/org/junit/experimental/categories/CategoryFilterFactory,true,80,300,false,NA,false
junit4/eclipse/org/junit/experimental/categories/CategoryValidator,true,117,504,false,NA,false
junit4/eclipse/org/junit/experimental/categories/ExcludeCategories,true,39,264,false,NA,false
junit4/eclipse/org/junit/experimental/theories/DataPoints,true,32,97,false,NA,false
junit4/eclipse/org/junit/experimental/theories/ParameterSignature,true,252,2602,false,NA,false
junit4/eclipse/org/junit/experimental/theories/ParametersSuppliedBy,true,22,68,false,NA,false
junit4/eclipse/org/junit/experimental/theories/Theory,true,20,46,false,NA,false
junit4/eclipse/org/junit/experimental/theories/Theories,true,890,3330,false,NA,false
junit4/eclipse/org/junit/experimental/theories/internal/EnumSupplier,true,62,234,true,32,true
junit4/eclipse/org/junit/experimental/theories/internal/ParameterizedAssertionError,false,NA,NA,false,NA,false
junit4/eclipse/org/junit/experimental/theories/internal/AllMembersSupplier,true,631,2664,false,NA,false
junit4/eclipse/org/junit/experimental/theories/internal/BooleanSupplier,true,50,100,true,24,true
junit4/eclipse/org/junit/experimental/theories/internal/Assignments,true,289,1960,false,NA,false
junit4/eclipse/org/junit/experimental/theories/internal/SpecificDataPointsSupplier,true,246,1029,false,NA,false
junit4/eclipse/org/junit/experimental/theories/suppliers/TestedOnSupplier,true,54,176,false,NA,false
junit4/eclipse/org/junit/experimental/theories/suppliers/TestedOn,true,22,65,false,NA,false
junit4/eclipse/org/junit/experimental/theories/FromDataPoints,true,22,62,false,NA,false
junit4/eclipse/org/junit/experimental/theories/DataPoint,true,32,97,false,NA,false
junit4/eclipse/org/junit/experimental/theories/ParameterSupplier,true,1,27,true,2,true
junit4/eclipse/org/junit/experimental/theories/PotentialAssignment,true,92,383,false,NA,false
junit4/eclipse/org/junit/experimental/max/MaxHistory,false,NA,NA,false,NA,false
junit4/eclipse/org/junit/experimental/max/CouldNotReadCoreException,true,0,34,true,0,true
junit4/eclipse/org/junit/experimental/max/MaxCore,true,344,1458,false,NA,false
junit4/eclipse/org/junit/ClassRule,true,14,57,false,NA,false
junit4/eclipse/org/junit/Test,true,44,102,false,NA,false
junit4/eclipse/org/junit/runners/model/FrameworkMethod,false,NA,NA,false,NA,false
junit4/eclipse/org/junit/runners/model/FrameworkMember,true,40,213,false,NA,false
junit4/eclipse/org/junit/runners/model/RunnerScheduler,true,1,14,true,0,true
junit4/eclipse/org/junit/runners/model/TestTimedOutException,false,NA,NA,false,NA,false
