Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/utils/MimeParse,true,312,2962,true,64,true
spark/eclipse/spark/utils/SparkUtils,true,41,213,true,20,true
spark/eclipse/spark/utils/IOUtils,true,32,558,true,0,true
spark/eclipse/spark/route/HttpMethod,true,55,160,true,50,true
spark/eclipse/spark/route/RouteMatcher,true,9,75,true,0,NA
spark/eclipse/spark/route/RouteMatch,true,27,290,true,0,true
spark/eclipse/spark/route/RouteMatcherFactory,true,12,140,true,0,true
spark/eclipse/spark/route/SimpleRouteMatcher,true,206,3431,false,NA,false
spark/eclipse/spark/Spark,true,106,1672,true,34,true
spark/eclipse/spark/QueryParamsMap,true,172,2053,true,0,true
spark/eclipse/spark/ResponseTransformerRoute,true,5,70,true,0,NA
spark/eclipse/spark/ModelAndView,true,10,124,true,0,true
spark/eclipse/spark/Access,true,1,50,true,0,true
spark/eclipse/spark/Session,true,56,582,true,0,NA
spark/eclipse/spark/Request,true,345,3268,true,40,true
spark/eclipse/spark/webserver/JettyHandler,true,28,229,true,0,true
spark/eclipse/spark/webserver/MatcherFilter,true,120,2035,false,NA,false
spark/eclipse/spark/webserver/RequestWrapper,true,146,1425,true,0,true
spark/eclipse/spark/webserver/SparkServer,true,8,42,true,0,NA
spark/eclipse/spark/webserver/ResponseWrapper,true,84,861,true,0,true
spark/eclipse/spark/webserver/SparkServerImpl,true,86,1605,true,3,true
spark/eclipse/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,true,3,104,true,0,true
spark/eclipse/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,58,657,true,2,true
spark/eclipse/spark/servlet/SparkFilter,true,54,561,false,NA,false
spark/eclipse/spark/AbstractRoute,true,4,120,true,0,true
spark/eclipse/spark/JettyLogger,true,95,918,false,NA,NA
spark/eclipse/spark/RequestResponseFactory,true,6,69,true,0,true
spark/eclipse/spark/TemplateViewRoute,true,11,162,true,0,true
spark/eclipse/spark/Response,true,92,1135,true,0,true
spark/eclipse/spark/HaltException,true,60,239,true,0,true
spark/eclipse/spark/Route,true,14,229,true,0,true
spark/eclipse/spark/Filter,true,13,203,true,0,true
