Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/jsoup/helper/W3CDom,false,NA,NA,false,NA,false,6
org/jsoup/helper/DataUtil,false,NA,NA,false,NA,false,6
org/jsoup/helper/Validate,false,NA,NA,false,NA,false,6
org/jsoup/helper/HttpConnection,false,NA,NA,false,NA,false,6
org/jsoup/helper/StringUtil,false,NA,NA,false,NA,false,6
org/jsoup/helper/DescendableLinkedList,false,NA,NA,false,NA,false,6
org/jsoup/HttpStatusException,false,NA,NA,false,NA,NA,6
org/jsoup/package-info,false,NA,NA,false,NA,NA,6
org/jsoup/select/CombiningEvaluator,false,NA,NA,false,NA,false,6
org/jsoup/select/package-info,false,NA,NA,false,NA,NA,6
org/jsoup/select/Evaluator,false,NA,NA,false,NA,NA,6
org/jsoup/select/QueryParser,false,NA,NA,false,NA,false,6
org/jsoup/select/Collector,false,NA,NA,false,NA,false,6
org/jsoup/select/Elements,false,NA,NA,false,NA,false,6
org/jsoup/select/StructuralEvaluator,false,NA,NA,false,NA,NA,6
org/jsoup/select/Selector,false,NA,NA,false,NA,false,6
org/jsoup/select/NodeVisitor,false,NA,NA,false,NA,NA,6
org/jsoup/select/NodeTraversor,false,NA,NA,false,NA,false,6
org/jsoup/Connection,false,NA,NA,false,NA,NA,6
org/jsoup/Jsoup,false,NA,NA,false,NA,false,6
org/jsoup/parser/Tag,false,NA,NA,false,NA,false,6
org/jsoup/parser/package-info,false,NA,NA,false,NA,NA,6
org/jsoup/parser/TokenQueue,false,NA,NA,false,NA,false,6
org/jsoup/parser/Tokeniser,false,NA,NA,false,NA,false,6
org/jsoup/parser/Parser,false,NA,NA,false,NA,false,6
org/jsoup/parser/HtmlTreeBuilder,false,NA,NA,false,NA,false,6
org/jsoup/parser/XmlTreeBuilder,false,NA,NA,false,NA,false,6
org/jsoup/parser/ParseErrorList,false,NA,NA,false,NA,false,6
org/jsoup/parser/CharacterReader,false,NA,NA,false,NA,false,6
org/jsoup/parser/ParseError,false,NA,NA,false,NA,false,6
org/jsoup/parser/TokeniserState,false,NA,NA,false,NA,false,6
org/jsoup/parser/Token,false,NA,NA,false,NA,false,6
org/jsoup/parser/TreeBuilder,false,NA,NA,false,NA,false,6
org/jsoup/parser/HtmlTreeBuilderState,false,NA,NA,false,NA,false,6
org/jsoup/safety/package-info,false,NA,NA,false,NA,NA,6
org/jsoup/safety/Cleaner,false,NA,NA,false,NA,false,6
org/jsoup/safety/Whitelist,false,NA,NA,false,NA,false,6
org/jsoup/nodes/Comment,false,NA,NA,false,NA,false,6
org/jsoup/nodes/FormElement,false,NA,NA,false,NA,false,6
org/jsoup/nodes/Element,false,NA,NA,false,NA,false,6
org/jsoup/nodes/package-info,false,NA,NA,false,NA,NA,6
org/jsoup/nodes/Entities,false,NA,NA,false,NA,false,6
org/jsoup/nodes/XmlDeclaration,false,NA,NA,false,NA,false,6
org/jsoup/nodes/DataNode,false,NA,NA,false,NA,false,6
org/jsoup/nodes/Attributes,false,NA,NA,false,NA,false,6
org/jsoup/nodes/TextNode,false,NA,NA,false,NA,false,6
org/jsoup/nodes/Node,false,NA,NA,false,NA,false,6
org/jsoup/nodes/Document,false,NA,NA,false,NA,false,6
org/jsoup/nodes/Attribute,false,NA,NA,false,NA,false,6
org/jsoup/nodes/DocumentType,false,NA,NA,false,NA,false,6
org/jsoup/examples/package-info,false,NA,NA,false,NA,NA,6
org/jsoup/examples/ListLinks,false,NA,NA,false,NA,NA,6
org/jsoup/examples/HtmlToPlainText,false,NA,NA,false,NA,NA,6
org/jsoup/UnsupportedMimeTypeException,false,NA,NA,false,NA,NA,6
